name,slug,phone,city,category,website,email,claim_page_url,invitation_sent_at
At Appliance service and repairs,at-appliance-service-and-repairs,0781570544,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/at-appliance-service-and-repairs,
Avalon Pest Control,avalon-pest-control,0832156430,Cape Town,Pest Control,,,https://findpro.co.za/business/avalon-pest-control,
Baruch Security Services Paarl,baruch-security-services-paarl,0212240777,Paarl,Security / CCTV,,,https://findpro.co.za/business/baruch-security-services-paarl,
Bassett Burglar Alarms,bassett-burglar-alarms,0861227388,Cape Town,Security / CCTV,,,https://findpro.co.za/business/bassett-burglar-alarms,
BBB Gardens Services Betty's Bay Kleinmond,bbb-gardens-services-bettys-bay-kleinmond,0845123145,Hermanus,Garden / Landscaping,,,https://findpro.co.za/business/bbb-gardens-services-bettys-bay-kleinmond,
Bedfordview plumbers & Electrician Germiston,bedfordview-plumbers-and-electrician-germiston,0679689946,Johannesburg,Plumbers,,,https://findpro.co.za/business/bedfordview-plumbers-and-electrician-germiston,
Bee Kulture,bee-kulture,0840581352,Johannesburg,Pest Control,,,https://findpro.co.za/business/bee-kulture,
Bee Painters & Waterproofers CC,bee-painters-and-waterproofers-cc,0214243565,Cape Town,Painters,,,https://findpro.co.za/business/bee-painters-and-waterproofers-cc,
Benade & Benade Electricians Roodepoort,benade-and-benade-electricians-roodepoort,0820623466,Roodepoort,Electricians,,,https://findpro.co.za/business/benade-and-benade-electricians-roodepoort,
Bergens Appliance Repairs Alberton,bergens-appliance-repairs-alberton,0118647406,Alberton,Appliance Repair,,,https://findpro.co.za/business/bergens-appliance-repairs-alberton,
Bergen's Appliance Repairs Edenvale,bergens-appliance-repairs-edenvale,0798840543,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/bergens-appliance-repairs-edenvale,
Bergen's Appliance Repairs & Spares Glenanda,bergens-appliance-repairs-and-spares-glenanda,0114361420,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/bergens-appliance-repairs-and-spares-glenanda,
Best Plumbers Cape Town,best-plumbers-cape-town,0624014646,Cape Town,Plumbers,,,https://findpro.co.za/business/best-plumbers-cape-town,
Better Appliance Care,better-appliance-care,0870931136,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/better-appliance-care,
Bidshore construction,bidshore-construction,0658441593,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/bidshore-construction,
BIGGIES PAINTERS AND PROJECTS,biggies-painters-and-projects,0615492400,Cape Town,Painters,,,https://findpro.co.za/business/biggies-painters-and-projects,
Big Joe's Home & Gardening Services Swellendam,big-joes-home-and-gardening-services-swellendam,0639836761,Cape Town,Garden / Landscaping,,,https://findpro.co.za/business/big-joes-home-and-gardening-services-swellendam,
Bird Solutions Cape,bird-solutions-cape,0647514210,Cape Town,Pest Control,,,https://findpro.co.za/business/bird-solutions-cape,
B J C Appliance Repairs Boksburg,b-j-c-appliance-repairs-boksburg,0680783499,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/b-j-c-appliance-repairs-boksburg,
Blessed appliance repairs,blessed-appliance-repairs,0761590030,Cape Town,Appliance Repair,,,https://findpro.co.za/business/blessed-appliance-repairs,
Blessing Landscaping,blessing-landscaping,0694642185,Cape Town,Garden / Landscaping,,,https://findpro.co.za/business/blessing-landscaping,
Blessmore Plumbing Service,blessmore-plumbing-service,0739002720,Randburg,Plumbers,,,https://findpro.co.za/business/blessmore-plumbing-service,
BlingBling Cleaning Services,blingbling-cleaning-services,0605255018,Cape Town,Cleaning Services,,,https://findpro.co.za/business/blingbling-cleaning-services,
Bobby's Plumbing cc,bobbys-plumbing-cc,0828731791,Cape Town,Plumbers,,,https://findpro.co.za/business/bobbys-plumbing-cc,
BO Construction Services,bo-construction-services,0834191282,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/bo-construction-services,
Boitshoko Road Surfacing & Civil Works,boitshoko-road-surfacing-and-civil-works,0119084652,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/boitshoko-road-surfacing-and-civil-works,
Bokwe's Security Services,bokwes-security-services,0215340522,Cape Town,Security / CCTV,,,https://findpro.co.za/business/bokwes-security-services,
BOLAND PAINTERS Worcester,boland-painters-worcester,0233428707,Cape Town,Painters,,,https://findpro.co.za/business/boland-painters-worcester,
Boland Pest Control,boland-pest-control,0218724583,Paarl,Pest Control,,,https://findpro.co.za/business/boland-pest-control,
Borer Beetles,borer-beetles,0218726295,Paarl,Pest Control,,,https://findpro.co.za/business/borer-beetles,
Bosman Plumbing & Renovating,bosman-plumbing-and-renovating,0217053969,Cape Town,Plumbers,,,https://findpro.co.za/business/bosman-plumbing-and-renovating,
Botha Painters and Decorators,botha-painters-and-decorators,0114251300,Johannesburg,Painters,,,https://findpro.co.za/business/botha-painters-and-decorators,
BP Electrical Betty's Bay,bp-electrical-bettys-bay,0735764174,Hermanus,Electricians,,,https://findpro.co.za/business/bp-electrical-bettys-bay,
B Prinsloo Plumbing,b-prinsloo-plumbing,0839259673,Cape Town,Plumbers,,,https://findpro.co.za/business/b-prinsloo-plumbing,
Brasco Group,brasco-group,0114342801,Johannesburg,Electricians,,,https://findpro.co.za/business/brasco-group,
Breakers Demolition Contractors,breakers-demolition-contractors,0114362568,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/breakers-demolition-contractors,
Bright Bay Cleaners,bright-bay-cleaners,0608648301,Cape Town,Cleaning Services,,,https://findpro.co.za/business/bright-bay-cleaners,
Bright On Electrical,bright-on-electrical,0619171215,Cape Town,Electricians,,,https://findpro.co.za/business/bright-on-electrical,
Brits Electric,brits-electric,0780183922,Pretoria,Electricians,,,https://findpro.co.za/business/brits-electric,
Broomstix Hermanus,broomstix-hermanus,0724641305,Hermanus,Cleaning Services,,,https://findpro.co.za/business/broomstix-hermanus,
Broomstix House Cleaning Services,broomstix-house-cleaning-services,0218551631,Cape Town,Cleaning Services,,,https://findpro.co.za/business/broomstix-house-cleaning-services,
Bruce Painters,bruce-painters,0685256810,Cape Town,Painters,,,https://findpro.co.za/business/bruce-painters,
B SEC Solar Energy,b-sec-solar-energy,0824807461,Johannesburg,Solar Installers,,,https://findpro.co.za/business/b-sec-solar-energy,
B&S Security Alarms CCTV Western Cape,bands-security-alarms-cctv-western-cape,0725903954,Cape Town,Security / CCTV,,,https://findpro.co.za/business/bands-security-alarms-cctv-western-cape,
BUG BOSS PEST CONTROL,bug-boss-pest-control,0100230524,Roodepoort,Pest Control,,,https://findpro.co.za/business/bug-boss-pest-control,
Bugbusterz Pest Control,bugbusterz-pest-control,0659555504,Johannesburg,Pest Control,,,https://findpro.co.za/business/bugbusterz-pest-control,
Bugman Pest Control,bugman-pest-control,0769243987,Sandton,Pest Control,,,https://findpro.co.za/business/bugman-pest-control,
Builder Kaufmann,builder-kaufmann,0828546261,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/builder-kaufmann,
BUILDERS,builders,0213003621,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/builders,
Building & Renovations,building-and-renovations,0615903199,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/building-and-renovations,
Bumblebee Cleaning Services,bumblebee-cleaning-services,0729961908,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/bumblebee-cleaning-services,
Bundu Power,bundu-power,0113977373,Johannesburg,Solar Installers,,,https://findpro.co.za/business/bundu-power,
Camps bay Plumbers & Electricians Cape Town,camps-bay-plumbers-and-electricians-cape-town,0659052921,Cape Town,Plumbers,,,https://findpro.co.za/business/camps-bay-plumbers-and-electricians-cape-town,
Cape Appliance Repairs,cape-appliance-repairs,0748473494,Cape Town,Appliance Repair,,,https://findpro.co.za/business/cape-appliance-repairs,
Cape Appliance Repairs Cape Town,cape-appliance-repairs-cape-town,0787678858,Cape Town,Appliance Repair,,,https://findpro.co.za/business/cape-appliance-repairs-cape-town,
Cape beetle inspectors,cape-beetle-inspectors,0695262748,Cape Town,Pest Control,,,https://findpro.co.za/business/cape-beetle-inspectors,
Cape Builders and Renovators,cape-builders-and-renovators,0826599659,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/cape-builders-and-renovators,
Cape Cleaners,cape-cleaners,0742705488,Cape Town,Cleaning Services,,,https://findpro.co.za/business/cape-cleaners,
Capecon Construction,capecon-construction,0218249600,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/capecon-construction,
Cape Electric Pro,cape-electric-pro,0837522279,Cape Town,Electricians,,,https://findpro.co.za/business/cape-electric-pro,
Cape Luxe Cleaning,cape-luxe-cleaning,0878222420,Cape Town,Cleaning Services,,,https://findpro.co.za/business/cape-luxe-cleaning,
Cape-Painters,cape-painters,0828420888,Cape Town,Painters,,,https://findpro.co.za/business/cape-painters,
Cape Pest Control Services,cape-pest-control-services,0658856498,Cape Town,Pest Control,,,https://findpro.co.za/business/cape-pest-control-services,
Cape Plumbing Pros,cape-plumbing-pros,+27 21 987 6543,Cape Town,Plumbers,https://capeplumbingpros.co.za,,https://findpro.co.za/business/cape-plumbing-pros,
Cape Spray Painters,cape-spray-painters,0713974028,Cape Town,Painters,,,https://findpro.co.za/business/cape-spray-painters,
CBM APPLIANCES & ELECTRICAL REPAIRS,cbm-appliances-and-electrical-repairs,0784012996,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/cbm-appliances-and-electrical-repairs,
CB Painters PTY Ltd,cb-painters-pty-ltd,0823713383,Cape Town,Painters,,,https://findpro.co.za/business/cb-painters-pty-ltd,
CBS Garden Solutions,cbs-garden-solutions,0678460308,Cape Town,Garden / Landscaping,,,https://findpro.co.za/business/cbs-garden-solutions,
CC Painting & Waterproofing,cc-painting-and-waterproofing,0832389637,Cape Town,Painters,,,https://findpro.co.za/business/cc-painting-and-waterproofing,
CC-Tronics,cc-tronics,0218382399,Cape Town,Appliance Repair,,,https://findpro.co.za/business/cc-tronics,
CDF Security Civil Defence Force,cdf-security-civil-defence-force,0211100911,Cape Town,Security / CCTV,,,https://findpro.co.za/business/cdf-security-civil-defence-force,
CHB Landscaping Hermanus South Africa,chb-landscaping-hermanus-south-africa,0828970538,Hermanus,Garden / Landscaping,,,https://findpro.co.za/business/chb-landscaping-hermanus-south-africa,
Chesed Construction & Project Management,chesed-construction-and-project-management,0218833614,Stellenbosch,Renovations / Builders,,,https://findpro.co.za/business/chesed-construction-and-project-management,
Chris Electrical Services,chris-electrical-services,0824464309,Johannesburg,Electricians,,,https://findpro.co.za/business/chris-electrical-services,
Chris Willemse Painters Waterproofing Cape Town,chris-willemse-painters-waterproofing-cape-town,0861111705,Cape Town,Painters,,,https://findpro.co.za/business/chris-willemse-painters-waterproofing-cape-town,
C.J.ELECTRICAL Robertson,cjelectrical-robertson,0723520647,Paarl,Electricians,,,https://findpro.co.za/business/cjelectrical-robertson,
CJ Landscaping Capetown,cj-landscaping-capetown,0671021005,Cape Town,Garden / Landscaping,,,https://findpro.co.za/business/cj-landscaping-capetown,
CK Appliances Repairs,ck-appliances-repairs,0715434774,Cape Town,Appliance Repair,,,https://findpro.co.za/business/ck-appliances-repairs,
Classique Builders,classique-builders,0832347317,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/classique-builders,
clayton home builders,clayton-home-builders,0784405067,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/clayton-home-builders,
CLEANCUT Quality Gardens,cleancut-quality-gardens,0215577611,Cape Town,Garden / Landscaping,,,https://findpro.co.za/business/cleancut-quality-gardens,
Cleangenix PTA East,cleangenix-pta-east,0827691273,Pretoria,Cleaning Services,,,https://findpro.co.za/business/cleangenix-pta-east,
Cleaning Africa Services,cleaning-africa-services,0117946665,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/cleaning-africa-services,
Cleaning & Hygiene Specialists Cape Town South,cleaning-and-hygiene-specialists-cape-town-south,0217881043,Cape Town,Cleaning Services,,,https://findpro.co.za/business/cleaning-and-hygiene-specialists-cape-town-south,
Cleaning & Hygiene Specialists East Rand,cleaning-and-hygiene-specialists-east-rand,0116099288,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/cleaning-and-hygiene-specialists-east-rand,
Cleaning & Hygiene Specialists Jhb City South,cleaning-and-hygiene-specialists-jhb-city-south,0871363050,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/cleaning-and-hygiene-specialists-jhb-city-south,
Cleaning & Hygiene Specialists Sandton,cleaning-and-hygiene-specialists-sandton,0116099288,Sandton,Cleaning Services,,,https://findpro.co.za/business/cleaning-and-hygiene-specialists-sandton,
Cleaning & Hygiene Specialists Vaal Triangle,cleaning-and-hygiene-specialists-vaal-triangle,0164282839,Vereeniging,Cleaning Services,,,https://findpro.co.za/business/cleaning-and-hygiene-specialists-vaal-triangle,
Cleaning & Hygiene Specialists Winelands,cleaning-and-hygiene-specialists-winelands,0212064960,Stellenbosch,Cleaning Services,,,https://findpro.co.za/business/cleaning-and-hygiene-specialists-winelands,
Cleaning services and Carpet cleaning,cleaning-services-and-carpet-cleaning,0679266921,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/cleaning-services-and-carpet-cleaning,
Cleaning Services CPT,cleaning-services-cpt,0218022605,Cape Town,Cleaning Services,,,https://findpro.co.za/business/cleaning-services-cpt,
Clean n Dusted Services 23 Pty Ltd,clean-n-dusted-services-23-pty-ltd,0787498918,Pretoria,Cleaning Services,,,https://findpro.co.za/business/clean-n-dusted-services-23-pty-ltd,
Clear Flow Plumber Morningside,clear-flow-plumber-morningside,0600414337,Johannesburg,Plumbers,,,https://findpro.co.za/business/clear-flow-plumber-morningside,
CLiCK Cleaning Kempton Park,click-cleaning-kempton-park,0829649703,Kempton Park,Cleaning Services,,,https://findpro.co.za/business/click-cleaning-kempton-park,
CLiCK Cleaning West Coast,click-cleaning-west-coast,0711174859,Cape Town,Cleaning Services,,,https://findpro.co.za/business/click-cleaning-west-coast,
Coastal Plumbing and Drainage (Pty) Ltd,coastal-plumbing-and-drainage-pty-ltd,0792273795,Cape Town,Plumbers,,,https://findpro.co.za/business/coastal-plumbing-and-drainage-pty-ltd,
Coating Worx,coating-worx,0861112910,Johannesburg,Painters,,,https://findpro.co.za/business/coating-worx,
Cobar Appliances,cobar-appliances,0828777687,Cape Town,Appliance Repair,,,https://findpro.co.za/business/cobar-appliances,
COC ELECTRICAL,coc-electrical,0711771234,Cape Town,Electricians,,,https://findpro.co.za/business/coc-electrical,
Collen's Garden & Irrigation Services Soweto,collens-garden-and-irrigation-services-soweto,0625440294,Johannesburg,Garden / Landscaping,,,https://findpro.co.za/business/collens-garden-and-irrigation-services-soweto,
Colourmatch Painters Wellington,colourmatch-painters-wellington,0744759445,Paarl,Painters,,,https://findpro.co.za/business/colourmatch-painters-wellington,
Construction Company Cape Town,construction-company-cape-town,0622092152,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/construction-company-cape-town,
Control Direct Pest Control,control-direct-pest-control,0834298749,Cape Town,Pest Control,,,https://findpro.co.za/business/control-direct-pest-control,
Corner Star Screens Western Cape,corner-star-screens-western-cape,0218828305,Cape Town,Pest Control,,,https://findpro.co.za/business/corner-star-screens-western-cape,
Corproclean Gansbaai,corproclean-gansbaai,0827803694,Gansbaai,Pest Control,,,https://findpro.co.za/business/corproclean-gansbaai,
CPT Painters,cpt-painters,0210125361,Cape Town,Painters,,,https://findpro.co.za/business/cpt-painters,
CPT Plumbing,cpt-plumbing,0836581407,Cape Town,Plumbers,,,https://findpro.co.za/business/cpt-plumbing,
Crawford Plumbers & Electricians Cape Town,crawford-plumbers-and-electricians-cape-town,0835963671,Cape Town,Plumbers,,,https://findpro.co.za/business/crawford-plumbers-and-electricians-cape-town,
Crisp and Clean Somerset West,crisp-and-clean-somerset-west,0828121426,Somerset West,Cleaning Services,,,https://findpro.co.za/business/crisp-and-clean-somerset-west,
Cronus Electrical Pty Ltd,cronus-electrical-pty-ltd,0662249284,Cape Town,Electricians,,,https://findpro.co.za/business/cronus-electrical-pty-ltd,
Crown Secure Systems CCTV Installation,crown-secure-systems-cctv-installation,0672119215,Cape Town,Security / CCTV,,,https://findpro.co.za/business/crown-secure-systems-cctv-installation,
CROWNTOP BUILDERS,crowntop-builders,0614079256,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/crowntop-builders,
CRS Construction Pty Ltd,crs-construction-pty-ltd,0826586499,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/crs-construction-pty-ltd,
Crystal Peace Electrical,crystal-peace-electrical,0798185555,Cape Town,Electricians,,,https://findpro.co.za/business/crystal-peace-electrical,
Data Surveillance Security Systems DSSS,data-surveillance-security-systems-dsss,0824501741,Cape Town,Security / CCTV,,,https://findpro.co.za/business/data-surveillance-security-systems-dsss,
Dave Miller Plumbers,dave-miller-plumbers,0118875719,Johannesburg,Plumbers,,,https://findpro.co.za/business/dave-miller-plumbers,
Dayline Electrical,dayline-electrical,0619889212,Cape Town,Electricians,,,https://findpro.co.za/business/dayline-electrical,
DC painters,dc-painters,0737999599,Cape Town,Painters,,,https://findpro.co.za/business/dc-painters,
Deep Blue Security,deep-blue-security,0217907901,Cape Town,Security / CCTV,,,https://findpro.co.za/business/deep-blue-security,
Deep Touch Cleaning,deep-touch-cleaning,0614321008,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/deep-touch-cleaning,
Dekker Plumbing Paarl,dekker-plumbing-paarl,0213305781,Paarl,Plumbers,,,https://findpro.co.za/business/dekker-plumbing-paarl,
Delsat Solar Energy,delsat-solar-energy,0106340901,Midrand,Solar Installers,,,https://findpro.co.za/business/delsat-solar-energy,
Delta Pest Control,delta-pest-control,0760346220,Pretoria,Pest Control,,,https://findpro.co.za/business/delta-pest-control,
Dempsey Eastrand Cleaners,dempsey-eastrand-cleaners,0717072868,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/dempsey-eastrand-cleaners,
DEVTECH,devtech,0861338832,Johannesburg,Electricians,,,https://findpro.co.za/business/devtech,
DG Construction,dg-construction,0104437192,Vereeniging,Renovations / Builders,,,https://findpro.co.za/business/dg-construction,
DJ Plumbing - Gansbaai,dj-plumbing-gansbaai,0839513627,Gansbaai,Plumbers,,,https://findpro.co.za/business/dj-plumbing-gansbaai,
DJ Plumbing Gansbaai,dj-plumbing-gansbaai-1,0839513627,Gansbaai,Plumbers,,,https://findpro.co.za/business/dj-plumbing-gansbaai-1,
